target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21079450352192086, gt_vfs_stl: 0.2452484297184007,                             state_vfs_stl: -0.7774656088859669,                             num_nodes: 36027,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21141572533256942, gt_vfs_stl: 0.2967475454911388,                             state_vfs_stl: -3.346656042485035,                             num_nodes: 34530,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21478792653925338, gt_vfs_stl: 0.24487422302602804,                             state_vfs_stl: -2.066904045662399,                             num_nodes: 33217,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16779611066413314, gt_vfs_stl: 0.3406813401843604,                             state_vfs_stl: 0.11983518471248378,                             num_nodes: 36369,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21576046798070436, gt_vfs_stl: 0.27393755518913354,                             state_vfs_stl: 0.08380277525781059,                             num_nodes: 38609,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1529233238247434, gt_vfs_stl: -0.24805633261260757,                             state_vfs_stl: -5.4697139493772635,                             num_nodes: 32442,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21161556280101063, gt_vfs_stl: 0.3084935182188997,                             state_vfs_stl: -4.84865929874814,                             num_nodes: 37020,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21067870692501123, gt_vfs_stl: 0.2659319140851919,                             state_vfs_stl: -1.1332535508393058,                             num_nodes: 31394,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21523766933150384, gt_vfs_stl: 0.18154768039769884,                             state_vfs_stl: -1.2524479380128724,                             num_nodes: 33206,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21545693922235443, gt_vfs_stl: 0.2229830601008422,                             state_vfs_stl: -0.6720403193685605,                             num_nodes: 34081,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.21017981767268348, gt_vfs_stl: 0.3203668621282152,                             state_vfs_stl: -6.743123509297317,                             num_nodes: 39381,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20962552354600944, gt_vfs_stl: 0.32839058211004535,                             state_vfs_stl: -3.6150913493786594,                             num_nodes: 39758,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15394766934777265, gt_vfs_stl: 0.21837309871995733,                             state_vfs_stl: 0.12034348001749041,                             num_nodes: 36425,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2161419894002959, gt_vfs_stl: 0.2456022336781847,                             state_vfs_stl: -10.706861460426689,                             num_nodes: 36946,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15345898651564127, gt_vfs_stl: 0.21423793972399274,                             state_vfs_stl: 0.11834604376919554,                             num_nodes: 39279,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.1607823570799889, gt_vfs_stl: 0.264890504636564,                             state_vfs_stl: 0.11924932501068808,                             num_nodes: 39534,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16371740437120674, gt_vfs_stl: 0.2398518097952125,                             state_vfs_stl: 0.12014644781204697,                             num_nodes: 38893,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21578383023613024, gt_vfs_stl: -0.17598144977044222,                             state_vfs_stl: -1.2189417484089924,                             num_nodes: 38508,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.1512961014979844, gt_vfs_stl: -0.23503685260715815,                             state_vfs_stl: -3.498777694441273,                             num_nodes: 37327,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20838844182416166, gt_vfs_stl: 0.3038712695641868,                             state_vfs_stl: 0.039546287343310026,                             num_nodes: 32433,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21460397426877598, gt_vfs_stl: 0.21895684718096917,                             state_vfs_stl: -5.872356999834887,                             num_nodes: 38560,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16546410105738973, gt_vfs_stl: 0.21653243548668896,                             state_vfs_stl: 0.1116273875896638,                             num_nodes: 39492,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15309777650553064, gt_vfs_stl: 0.2642395406393769,                             state_vfs_stl: 0.12540997291266576,                             num_nodes: 39478,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21589378363493922, gt_vfs_stl: 0.22840519872172094,                             state_vfs_stl: -0.9687892456739603,                             num_nodes: 38173,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15402287790331756, gt_vfs_stl: 0.2527260727954336,                             state_vfs_stl: 0.11807031309969225,                             num_nodes: 32848,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21678885701331185, gt_vfs_stl: 0.29888466541895103,                             state_vfs_stl: -2.6722024583828476,                             num_nodes: 37995,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.2155698438948931, gt_vfs_stl: 0.19196632262899954,                             state_vfs_stl: -2.169230662734632,                             num_nodes: 35263,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21826076014568252, gt_vfs_stl: 0.29109846548672774,                             state_vfs_stl: -1.08895402961521,                             num_nodes: 37093,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21433582705927595, gt_vfs_stl: 0.220669655723189,                             state_vfs_stl: -0.336434007749159,                             num_nodes: 38632,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
