target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15418064727428782, gt_vfs_stl: 0.2343153208578431,                             state_vfs_stl: 0.12419138507406384,                             num_nodes: 29074,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21419825128576428, gt_vfs_stl: 0.23929444712274484,                             state_vfs_stl: 0.08246446612876505,                             num_nodes: 32583,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15329913491772737, gt_vfs_stl: 0.13023046594101648,                             state_vfs_stl: 0.10026191718689194,                             num_nodes: 29073,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2101341977915153, gt_vfs_stl: 0.2950289074676306,                             state_vfs_stl: -2.5061168472248014,                             num_nodes: 30590,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16933134951612566, gt_vfs_stl: 0.21592799857575673,                             state_vfs_stl: 0.11819019380148536,                             num_nodes: 31144,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2082599813370782, gt_vfs_stl: 0.2775127602381416,                             state_vfs_stl: -1.6191386174606957,                             num_nodes: 30627,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.15910096311010455, gt_vfs_stl: -0.3149673929321558,                             state_vfs_stl: -1.0102931920687623,                             num_nodes: 31290,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21391242574035552, gt_vfs_stl: 0.2723688406257647,                             state_vfs_stl: 0.09462925200045195,                             num_nodes: 32547,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21381121770896536, gt_vfs_stl: 0.22236619054930692,                             state_vfs_stl: -4.231308454246133,                             num_nodes: 32853,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.2101302374022948, gt_vfs_stl: 0.28268605312909245,                             state_vfs_stl: -0.022765911947036175,                             num_nodes: 30598,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15283001046757122, gt_vfs_stl: 0.25613950829787846,                             state_vfs_stl: 0.12111005566476979,                             num_nodes: 29113,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20854657458435477, gt_vfs_stl: 0.26979296165617594,                             state_vfs_stl: 0.08385277361568813,                             num_nodes: 30591,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15487844995506014, gt_vfs_stl: 0.19495357147027026,                             state_vfs_stl: 0.12589566556658477,                             num_nodes: 28285,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15269188679038953, gt_vfs_stl: 0.26000783215654816,                             state_vfs_stl: 0.11693834458560165,                             num_nodes: 29116,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.146872106090964, gt_vfs_stl: 0.2822895394747818,                             state_vfs_stl: 0.11583202040485631,                             num_nodes: 28708,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [0],                             avoid_zones: [],                             pred_vfs_stl: 0.15305869514748888, gt_vfs_stl: 0.22343918179231625,                             state_vfs_stl: 0.11620304644145892,                             num_nodes: 28861,                             is_success: 1,                             complete_tasks: [0],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21433401457250156, gt_vfs_stl: -0.22563375202343874,                             state_vfs_stl: 0.06499639356983701,                             num_nodes: 32634,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.15758152390851957, gt_vfs_stl: 0.11736541644338142,                             state_vfs_stl: 0.10752676360140219,                             num_nodes: 31427,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20840804054910578, gt_vfs_stl: 0.2967343071181096,                             state_vfs_stl: -0.07350926058512852,                             num_nodes: 30515,                             is_success: 1,                             complete_tasks: [2],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.16666623057724517, gt_vfs_stl: 0.22915432644377973,                             state_vfs_stl: 0.11663460310199031,                             num_nodes: 31032,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
target_zones: [2],                             avoid_zones: [],                             pred_vfs_stl: 0.20990524245546147, gt_vfs_stl: 0.260056407905651,                             state_vfs_stl: -0.2993390418672557,                             num_nodes: 30558,                             is_success: 0,                             complete_tasks: [],                             number_collide: 0
target_zones: [1],                             avoid_zones: [],                             pred_vfs_stl: 0.21230140722055282, gt_vfs_stl: -0.07784791587000303,                             state_vfs_stl: 0.10557088958371881,                             num_nodes: 32530,                             is_success: 1,                             complete_tasks: [1],                             number_collide: 0
target_zones: [3],                             avoid_zones: [],                             pred_vfs_stl: 0.1603245555569379, gt_vfs_stl: 0.2940211388825029,                             state_vfs_stl: 0.11681843219743251,                             num_nodes: 31314,                             is_success: 1,                             complete_tasks: [3],                             number_collide: 0
